Fecha,Hora (UTC),HR
08-07-2023,17:00,44.0
08-07-2023,18:00,40.0
08-07-2023,19:00,44.0
08-07-2023,20:00,40.0
08-07-2023,21:00,48.0
08-07-2023,22:00,58.0
08-07-2023,23:00,70.0
09-07-2023,0:00,82.0
09-07-2023,1:00,95.8
09-07-2023,2:00,100.0
09-07-2023,3:00,100.0
09-07-2023,4:00,100.0
09-07-2023,5:00,100.0
09-07-2023,6:00,100.0
09-07-2023,7:00,99.4
09-07-2023,8:00,97.8
09-07-2023,9:00,97.0
09-07-2023,10:00,97.0
09-07-2023,11:00,96.0
09-07-2023,12:00,96.0
09-07-2023,13:00,99.0
09-07-2023,14:00,92.0
09-07-2023,15:00,89.0
09-07-2023,16:00,78.0
09-07-2023,17:00,75.0
09-07-2023,18:00,76.0
09-07-2023,19:00,71.0
09-07-2023,20:00,67.0
09-07-2023,21:00,68.0
09-07-2023,22:00,72.0
09-07-2023,23:00,89.0
10-07-2023,0:00,95.0
10-07-2023,1:00,100.0
10-07-2023,2:00,100.0
10-07-2023,3:00,100.0
10-07-2023,4:00,100.0
10-07-2023,5:00,100.0
10-07-2023,6:00,100.0
10-07-2023,7:00,100.0
10-07-2023,8:00,100.0
10-07-2023,9:00,100.0
10-07-2023,10:00,100.0
10-07-2023,11:00,99.0
10-07-2023,12:00,100.0
10-07-2023,13:00,100.0
10-07-2023,14:00,100.0
10-07-2023,15:00,70.0
10-07-2023,16:00,57.0
10-07-2023,17:00,49.0
10-07-2023,18:00,40.0
10-07-2023,19:00,36.0
10-07-2023,20:00,43.0
10-07-2023,21:00,53.0
10-07-2023,22:00,64.0
10-07-2023,23:00,84.0
11-07-2023,0:00,92.0
11-07-2023,1:00,94.0
11-07-2023,2:00,92.7
11-07-2023,3:00,90.0
11-07-2023,4:00,87.0
11-07-2023,5:00,86.2
11-07-2023,6:00,85.0
11-07-2023,7:00,87.0
11-07-2023,8:00,97.1
11-07-2023,9:00,99.0
11-07-2023,10:00,100.0
11-07-2023,11:00,100.0
11-07-2023,12:00,100.0
11-07-2023,13:00,100.0
11-07-2023,14:00,100.0
11-07-2023,15:00,95.0
11-07-2023,16:00,88.0
11-07-2023,17:00,82.0
11-07-2023,18:00,76.0
11-07-2023,19:00,71.0
11-07-2023,20:00,75.0
11-07-2023,21:00,76.0
11-07-2023,22:00,84.0
11-07-2023,23:00,97.0
12-07-2023,0:00,97.0
12-07-2023,1:00,100.0
12-07-2023,2:00,96.1
12-07-2023,3:00,94.0
12-07-2023,4:00,95.0
12-07-2023,5:00,96.7
12-07-2023,6:00,95.0
12-07-2023,7:00,93.2
12-07-2023,8:00,87.0
12-07-2023,9:00,87.0
12-07-2023,10:00,75.0
12-07-2023,11:00,93.0
12-07-2023,12:00,96.0
12-07-2023,13:00,98.0
12-07-2023,14:00,98.0
12-07-2023,15:00,90.0
12-07-2023,16:00,82.0
12-07-2023,17:00,73.0
12-07-2023,18:00,68.0
12-07-2023,19:00,68.0
12-07-2023,20:00,66.0
12-07-2023,21:00,63.0
12-07-2023,22:00,71.0
12-07-2023,23:00,89.0
13-07-2023,0:00,97.0
13-07-2023,1:00,98.9
13-07-2023,2:00,100.0
13-07-2023,3:00,100.0
13-07-2023,4:00,100.0
13-07-2023,5:00,100.0
13-07-2023,6:00,100.0
13-07-2023,7:00,100.0
13-07-2023,8:00,100.0
13-07-2023,9:00,100.0
13-07-2023,10:00,100.0
13-07-2023,11:00,100.0
13-07-2023,12:00,100.0
13-07-2023,13:00,100.0
13-07-2023,14:00,100.0
13-07-2023,15:00,77.0
13-07-2023,16:00,62.0
13-07-2023,17:00,54.0
13-07-2023,18:00,48.0
13-07-2023,19:00,40.0
13-07-2023,20:00,41.0
13-07-2023,21:00,45.0
13-07-2023,22:00,63.0
13-07-2023,23:00,74.0
14-07-2023,0:00,78.0
14-07-2023,1:00,80.4
14-07-2023,2:00,88.6
14-07-2023,3:00,83.0
14-07-2023,4:00,93.5
14-07-2023,5:00,95.5
14-07-2023,6:00,96.0
14-07-2023,7:00,98.0
14-07-2023,8:00,99.4
14-07-2023,9:00,100.0
14-07-2023,10:00,99.0
14-07-2023,11:00,99.0
14-07-2023,12:00,99.0
14-07-2023,13:00,98.0
14-07-2023,14:00,86.0
14-07-2023,15:00,75.0
14-07-2023,16:00,67.0
14-07-2023,17:00,60.0
14-07-2023,18:00,62.0
14-07-2023,19:00,55.0
14-07-2023,20:00,53.0
14-07-2023,21:00,61.0
14-07-2023,22:00,66.0
14-07-2023,23:00,76.0
15-07-2023,0:00,82.0
15-07-2023,1:00,77.6
15-07-2023,2:00,80.8
15-07-2023,3:00,80.0
15-07-2023,4:00,83.8
15-07-2023,5:00,75.5
15-07-2023,6:00,81.0
15-07-2023,7:00,84.2
15-07-2023,8:00,85.5
15-07-2023,9:00,84.0
15-07-2023,10:00,84.0
15-07-2023,11:00,86.0
15-07-2023,12:00,83.0
15-07-2023,13:00,79.0
15-07-2023,14:00,65.0
15-07-2023,15:00,59.0
15-07-2023,16:00,55.0
15-07-2023,17:00,51.0
15-07-2023,18:00,48.0
15-07-2023,19:00,50.0
15-07-2023,20:00,50.0
15-07-2023,21:00,56.0
15-07-2023,22:00,63.0
15-07-2023,23:00,75.0
16-07-2023,0:00,76.0
16-07-2023,1:00,90.5
16-07-2023,2:00,94.5
16-07-2023,3:00,96.0
16-07-2023,4:00,98.3
16-07-2023,5:00,99.3
16-07-2023,6:00,100.0
16-07-2023,7:00,99.6
16-07-2023,8:00,99.6
16-07-2023,9:00,99.0
16-07-2023,10:00,98.0
16-07-2023,11:00,99.0
16-07-2023,12:00,98.0
16-07-2023,13:00,99.0
16-07-2023,14:00,76.0
16-07-2023,15:00,65.0
16-07-2023,16:00,55.0
16-07-2023,17:00,47.0
16-07-2023,18:00,39.0
16-07-2023,19:00,36.0
16-07-2023,20:00,34.0
16-07-2023,21:00,36.0
16-07-2023,22:00,52.0
16-07-2023,23:00,68.0
17-07-2023,0:00,81.0
17-07-2023,1:00,93.8
17-07-2023,2:00,95.5
17-07-2023,3:00,97.0
17-07-2023,4:00,98.4
17-07-2023,5:00,98.6
17-07-2023,6:00,99.0
17-07-2023,7:00,99.9
17-07-2023,8:00,100.0
17-07-2023,9:00,100.0
17-07-2023,10:00,100.0
17-07-2023,11:00,100.0
17-07-2023,12:00,100.0
17-07-2023,13:00,100.0
17-07-2023,14:00,100.0
17-07-2023,15:00,65.0
17-07-2023,16:00,56.0
17-07-2023,17:00,54.0
17-07-2023,18:00,51.0
17-07-2023,19:00,53.0
17-07-2023,20:00,64.0
17-07-2023,21:00,75.0
17-07-2023,22:00,80.0
17-07-2023,23:00,82.0
18-07-2023,0:00,85.0
18-07-2023,1:00,85.9
18-07-2023,2:00,86.6
18-07-2023,3:00,85.0
18-07-2023,4:00,87.5
18-07-2023,5:00,87.0
18-07-2023,6:00,90.0
18-07-2023,7:00,91.0
18-07-2023,8:00,91.3
18-07-2023,9:00,86.0
18-07-2023,10:00,86.0
18-07-2023,11:00,90.0
18-07-2023,12:00,90.0
18-07-2023,13:00,85.0
18-07-2023,14:00,79.0
18-07-2023,15:00,65.0
18-07-2023,16:00,46.0
18-07-2023,17:00,39.0
18-07-2023,18:00,38.0
18-07-2023,19:00,47.0
18-07-2023,20:00,43.0
18-07-2023,21:00,49.0
18-07-2023,22:00,52.0
18-07-2023,23:00,50.0
19-07-2023,0:00,54.0
19-07-2023,1:00,59.1
19-07-2023,2:00,62.4
19-07-2023,3:00,65.0
19-07-2023,4:00,50.6
19-07-2023,5:00,54.5
19-07-2023,6:00,52.0
19-07-2023,7:00,59.2
19-07-2023,8:00,63.0
19-07-2023,9:00,68.0
19-07-2023,10:00,67.0
19-07-2023,11:00,65.0
19-07-2023,12:00,69.0
19-07-2023,13:00,64.0
19-07-2023,14:00,63.0
19-07-2023,15:00,50.0
19-07-2023,16:00,47.0
19-07-2023,17:00,43.0
19-07-2023,18:00,37.0
19-07-2023,19:00,33.0
19-07-2023,20:00,33.0
19-07-2023,21:00,38.0
19-07-2023,22:00,50.0
19-07-2023,23:00,65.0
